,R²,RMSE,MAE,R²_train,R²_CV
Linear Regression,0.49987925743780914,970.5607643947802,736.2127981680271,0.46392575368219346,0.42088905287942496
Random Forest,0.6668492660399103,792.1468219894554,566.2730242691484,0.8060634241636411,0.5786312463272418
LinearSVR,-0.11157914068802466,1446.956553807005,1079.1669919205506,-0.11383463105866687,-0.18247665033042723
