size,rooms,bathrooms,numPhotos,dist_centro_km,m2_por_quarto,densidade_wc,zona_geografica,status,floor,localizacao_premium,priceByArea,Predicted,Diferenca,Economia
231.0,4,5,21,5.329075444418054,46.2,1.0,0,good,,0,3246.753246753247,6056.899054013531,-2810.145807260284,2810.145807260284
113.0,1,1,15,6.19377385303862,56.5,0.5,0,newdevelopment,bj,0,2212.3893805309735,4638.209150736576,-2425.8197702056023,2425.8197702056023
114.0,3,3,13,4.263602436975464,28.5,0.75,0,good,1,0,3201.754385964912,5361.557110344934,-2159.8027243800216,2159.8027243800216
72.0,0,1,28,0.6141022945212857,72.0,1.0,6,newdevelopment,st,1,3278.0555555555557,5170.781955203782,-1892.726399648226,1892.726399648226
83.0,1,1,10,4.977505524029121,41.5,0.5,0,newdevelopment,1,0,3192.7710843373493,4917.571040206983,-1724.7999558696333,1724.7999558696333
275.0,5,4,30,4.830106225002367,45.833333333333336,0.6666666666666666,0,good,,0,2800.0,4521.363749999251,-1721.363749999251,1721.363749999251
115.0,2,2,13,6.114073862716124,38.333333333333336,0.6666666666666666,0,good,,0,3086.9565217391305,4798.883785654078,-1711.9272639149472,1711.9272639149472
72.0,0,1,16,0.6905743096691365,72.0,1.0,6,newdevelopment,bj,1,3278.0555555555557,4983.038569012378,-1704.983013456822,1704.983013456822
55.0,1,1,25,0.6320310222438097,27.5,0.5,6,good,1,1,4363.636363636364,6062.362000020879,-1698.7256363845154,1698.7256363845154
150.0,2,2,47,3.3989701515654733,50.0,0.6666666666666666,0,good,3,0,2633.3333333333335,4271.934661845683,-1638.6013285123495,1638.6013285123495
