Threshold,TPR_Recall,FPR,Precision,Accuracy,F1-Score
0.3,0.9398496240601504,0.3175,0.7470119521912351,0.8110137672090113,0.832408435072142
0.4,0.9097744360902256,0.2275,0.7995594713656388,0.8410513141426783,0.8511137162954279
0.5,0.8395989974937343,0.1425,0.8545918367346939,0.8485607008760951,0.8470290771175727
0.6,0.7619047619047619,0.0925,0.8914956011730205,0.8347934918648311,0.8216216216216217
0.7,0.6691729323308271,0.0575,0.9206896551724137,0.8060075093867334,0.7750362844702468
0.8,0.556390977443609,0.0325,0.9446808510638298,0.7622027534418022,0.7003154574132492
