propertyCode,price,size,priceByArea,rooms,bathrooms,district,municipality,neighborhood,latitude,longitude,floor,status,newDevelopment,hasLift,numPhotos,hasVideo,url,zona_geografica,dist_centro_km,m2_por_quarto,preco_total_estimado,densidade_wc,localizacao_premium
34305091,450000.0,72.0,6250.0,1,1,Baixa,Cedofeita - Santo Ildefonso - Sé - Miragaia - São Nicolau - Vitória,Bolhão,41.1516007,-8.6062042,2,good,False,True,36,True,https://www.idealista.pt/imovel/34305091/,6,0.4517453711830647,36.0,450000.0,0.5,1
34308943,665000.0,177.0,3757.0,3,3,Lavadores,Canidelo,,41.1238877,-8.6665362,1,newdevelopment,True,True,52,True,https://www.idealista.pt/empreendimento/34308943/,2,5.466556566541271,44.25,664989.0,0.75,0
34513933,569600.0,108.0,5274.0,2,2,Valbom,São Cosme - Valbom - Jovim,,41.1406638,-8.5691091,2,newdevelopment,True,True,27,True,https://www.idealista.pt/empreendimento/34513933/,4,3.6376964478187523,36.0,569592.0,0.6666666666666666,0
33987524,720000.0,183.0,3934.0,3,3,Constituição,Cedofeita - Santo Ildefonso - Sé - Miragaia - São Nicolau - Vitória,,41.1636108,-8.6263217,1,newdevelopment,True,True,20,True,https://www.idealista.pt/empreendimento/33987524/,1,2.023389142288896,45.75,719922.0,0.75,1
34256477,336194.0,76.0,4424.0,1,1,Centro de Senhora da Hora,São Mamede de Infesta e Senhora da Hora,,41.1860646,-8.6503927,2,newdevelopment,True,True,69,True,https://www.idealista.pt/empreendimento/34256477/,5,5.2314936972276875,38.0,336224.0,0.5,0
34459452,283719.0,85.0,3338.0,0,1,Centro de Senhora da Hora,São Mamede de Infesta e Senhora da Hora,,41.1860646,-8.6503927,1,newdevelopment,True,True,69,True,https://www.idealista.pt/empreendimento/34459452/,5,5.2314936972276875,85.0,283730.0,1.0,0
34257384,329500.0,88.0,3744.0,1,1,Serralves,Lordelo do Ouro e Massarelos,,41.1551707,-8.6507126,2,newdevelopment,True,True,27,True,https://www.idealista.pt/empreendimento/34257384/,0,3.390398385459906,44.0,329472.0,0.5,0
33810139,454261.0,107.0,4245.0,2,2,Centro de Senhora da Hora,São Mamede de Infesta e Senhora da Hora,,41.1860646,-8.6503927,1,newdevelopment,True,True,69,True,https://www.idealista.pt/empreendimento/33810139/,5,5.2314936972276875,35.666666666666664,454215.0,0.6666666666666666,0
34513959,660600.0,144.0,4588.0,3,3,Valbom,São Cosme - Valbom - Jovim,,41.1406638,-8.5691091,2,newdevelopment,True,True,27,True,https://www.idealista.pt/empreendimento/34513959/,4,3.6376964478187523,36.0,660672.0,0.75,0
34317194,525000.0,158.0,3323.0,4,2,Fonte da Moura - Vilarinha,Ramalde,,41.1625226,-8.6611926,1,good,False,False,34,True,https://www.idealista.pt/imovel/34317194/,0,4.448978151943225,31.6,525034.0,0.4,0
33739874,1200000.0,359.0,3343.0,5,3,Baixa,Cedofeita - Santo Ildefonso - Sé - Miragaia - São Nicolau - Vitória,Bairro das Artes,41.1480159,-8.6207179,,good,False,,23,False,https://www.idealista.pt/imovel/33739874/,1,0.8407136713793084,59.833333333333336,1200137.0,0.5,1
34628782,450000.0,65.0,6923.0,1,2,Boavista,Cedofeita - Santo Ildefonso - Sé - Miragaia - São Nicolau - Vitória,Júlio Dinis - Hospital Militar,41.1556981,-8.6252634,3,newdevelopment,True,True,26,True,https://www.idealista.pt/empreendimento/34628782/,1,1.3805742921667776,32.5,449995.0,1.0,1
34701438,294800.0,80.4,3667.0,1,1,Camões - Gonçalo Cristóvão - Faria Guimarães,Cedofeita - Santo Ildefonso - Sé - Miragaia - São Nicolau - Vitória,,41.1538928,-8.6062855,1,newdevelopment,True,True,28,False,https://www.idealista.pt/empreendimento/34701438/,6,0.6141022945212857,40.2,294826.80000000005,0.5,1
31942294,1325000.0,195.0,6795.0,3,3,Aviz - Cristo Rei,Aldoar - Foz do Douro - Nevogilde,,41.1626451,-8.6711983,1,newdevelopment,True,True,25,False,https://www.idealista.pt/empreendimento/31942294/,0,5.252487674844402,48.75,1325025.0,0.75,0
34488456,569600.0,106.0,5374.0,2,3,Valbom,São Cosme - Valbom - Jovim,,41.1406638,-8.5691091,,newdevelopment,True,True,44,True,https://www.idealista.pt/empreendimento/34488456/,4,3.6376964478187523,35.333333333333336,569644.0,1.0,0
33235950,561000.0,145.0,3869.0,3,3,Prelada - Monte dos Burgos,Ramalde,Requesende,41.1734953,-8.6373661,7,newdevelopment,True,True,37,False,https://www.idealista.pt/empreendimento/33235950/,5,3.459571123376972,36.25,561005.0,0.75,0
33235941,571000.0,145.0,3938.0,3,3,Prelada - Monte dos Burgos,Ramalde,Requesende,41.1734953,-8.6373661,8,newdevelopment,True,True,36,False,https://www.idealista.pt/empreendimento/33235941/,5,3.459571123376972,36.25,571010.0,0.75,0
34665520,360000.0,175.0,2057.0,3,2,Leça do Balio,Custóias - Leça do Balio - Guifões,,41.1964064,-8.6190559,bj,good,False,True,29,False,https://www.idealista.pt/imovel/34665520/,5,5.249211177351773,43.75,359975.0,0.5,0
34209163,541000.0,145.0,3731.0,3,3,Prelada - Monte dos Burgos,Ramalde,Requesende,41.1734953,-8.6373661,5,newdevelopment,True,True,35,False,https://www.idealista.pt/empreendimento/34209163/,5,3.459571123376972,36.25,540995.0,0.75,0
34605144,595000.0,144.0,4132.0,3,3,Campo 24 de Agosto,Bonfim,,41.1514971,-8.5976711,4,newdevelopment,True,True,33,True,https://www.idealista.pt/empreendimento/34605144/,6,1.1275366834276188,36.0,595008.0,0.75,1
34605139,342500.0,67.0,5112.0,1,1,Campo 24 de Agosto,Bonfim,,41.1514971,-8.5976711,5,newdevelopment,True,True,33,True,https://www.idealista.pt/empreendimento/34605139/,6,1.1275366834276188,33.5,342504.0,0.5,1
34605116,417500.0,78.0,5353.0,2,1,Campo 24 de Agosto,Bonfim,,41.1514971,-8.5976711,5,newdevelopment,True,True,33,True,https://www.idealista.pt/empreendimento/34605116/,6,1.1275366834276188,26.0,417534.0,0.3333333333333333,1
